"FND_APP_FLEX_VALUE_SET.ValueSetCode","Value","IndependentValue","IndependentValueNumber","IndependentValueDate","IndependentValueTimestamp","ValueNumber","ValueDate","ValueTimestamp","TranslatedValue","Description","EnabledFlag","StartDateActive","EndDateActive","SummaryFlag","FlexValueAttribute1","FlexValueAttribute2","FlexValueAttribute3","FlexValueAttribute4","FlexValueAttribute5","FlexValueAttribute6","SortOrder","ExternalDataSource","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin"
"Planning_Categories_VS","6200","","","","","","","","","Tablet Assemblies","Y","","","","","","","","","","","","2015/11/18 12:39:31.957","CUSTOMIZED_USER","2015/11/18 12:39:41.969","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","6500","","","","","","","","","Server Components","Y","","","","","","","","","","","","2015/11/18 12:40:01.57","CUSTOMIZED_USER","2015/11/18 12:40:08.183","CUSTOMIZED_USER","24CF930578A779B0E053790B548C3D82"
"Planning_Categories_VS","6600","","","","","","","","","Server Accessories","Y","","","","","","","","","","","","2016/03/07 11:00:04.923","CUSTOMIZED_USER","2016/03/07 11:00:40.002","CUSTOMIZED_USER","2D730EF80C093242E053790B548C3E2F"
"Planning_Categories_VS","6700","","","","","","","","","Server Assemblies","Y","","","","","","","","","","","","2016/08/02 12:13:29.0","CUSTOMIZED_USER","2016/08/02 12:14:45.64","CUSTOMIZED_USER","390FABF04BE64069E0537AA3FD0A9237"
"Planning_Categories_VS","6900","","","","","","","","","Packaging","Y","","","","","","","","","","","","2016/03/25 15:12:05.933","CUSTOMIZED_USER","2016/03/25 15:12:16.223","CUSTOMIZED_USER","2EE13076E20F3A64E053790B548C1CDC"
"Planning_Categories_VS","9800","","","","","","","","","Back to Back - Purchasing","Y","","","","","","","","","","","","2016/01/29 09:31:34.0","CUSTOMIZED_USER","2016/01/29 09:32:48.545","CUSTOMIZED_USER","2A75C6D751EA183BE053790B548CAC1B"
"Planning_Categories_VS","9900","","","","","","","","","Drop Ship","Y","","","","","","","","","","","","2016/01/26 06:46:20.282","CUSTOMIZED_USER","2016/01/26 06:46:51.584","CUSTOMIZED_USER","2A37F03E46D3127CE053790B548CC8FC"
"Planning_Categories_VS","9980","","","","","","","","","Additional 1","Y","","","","","","","","","","","","2016/06/13 10:41:07.0","CUSTOMIZED_USER","2016/06/13 10:42:28.697","CUSTOMIZED_USER","35274A1B26F03E1EE053CFFBE70AA970"
"Planning_Categories_VS","9981","","","","","","","","","Additional 2","Y","","","","","","","","","","","","2016/06/13 10:43:51.496","CUSTOMIZED_USER","2016/06/13 10:44:04.818","CUSTOMIZED_USER","35274A1B26F03E1EE053CFFBE70AA970"
"Planning_Categories_VS","9982","","","","","","","","","Additional 3","Y","","","","","","","","","","","","2016/06/13 10:45:46.759","CUSTOMIZED_USER","2016/06/13 10:45:57.76","CUSTOMIZED_USER","35274A1B26F03E1EE053CFFBE70AA970"
"Planning_Categories_VS","9983","","","","","","","","","Additional 4","Y","","","","","","","","","","","","2016/06/13 10:46:03.087","CUSTOMIZED_USER","2016/06/13 10:46:15.873","CUSTOMIZED_USER","35274A1B26F03E1EE053CFFBE70AA970"
"Retail_Class","11041","","","","","","","","","Peaches","Y","","","","","","","","","","","","2013/11/11 12:54:56.476","CUSTOMIZED_USER","2013/11/11 12:55:02.755","CUSTOMIZED_USER","EAE51B8CDDDF01E6E0436204548C61B8"
"Retail_Class","11042","","","","","","","","","Pears","Y","","","","","","","","","","","","2013/11/11 12:55:15.196","CUSTOMIZED_USER","2013/11/11 12:55:20.84","CUSTOMIZED_USER","EAE51B8CDDE001E6E0436204548C61B8"
"Retail_Class","11043","","","","","","","","","Tomatoes","Y","","","","","","","","","","","","2013/11/11 12:55:29.301","CUSTOMIZED_USER","2013/11/11 12:55:34.215","CUSTOMIZED_USER","EAE51B8CDDE101E6E0436204548C61B8"
"Retail_Class","11044","","","","","","","","","Pineapple","Y","","","","","","","","","","","","2013/11/11 12:55:41.393","CUSTOMIZED_USER","2013/11/11 12:56:00.646","CUSTOMIZED_USER","EAE51B8CDDE201E6E0436204548C61B8"
"Retail_Class","20012","","","","","","","","","Casual Tops","Y","","","","","","","","","","","","2013/11/11 12:56:10.273","CUSTOMIZED_USER","2013/11/11 12:56:18.192","CUSTOMIZED_USER","EAE51B8CDDE301E6E0436204548C61B8"
"Retail_Class","20031","","","","","","","","","Classic Tops","Y","","","","","","","","","","","","2013/11/11 12:56:33.297","CUSTOMIZED_USER","2013/11/11 12:56:42.026","CUSTOMIZED_USER","EAE51B8CDDE401E6E0436204548C61B8"
"Retail_Company","1","","","","","","","","","Retailer","Y","","","","","","","","","","","","2013/11/11 12:51:30.336","CUSTOMIZED_USER","2013/11/11 12:51:35.345","CUSTOMIZED_USER","EAE4431D8F931AE0E0436204548CD9F8"
"Retail_Department","1104","","","","","","","","","Canned Fruit","Y","","","","","","","","","","","","2013/11/11 12:52:53.197","CUSTOMIZED_USER","2013/11/11 12:53:00.81","CUSTOMIZED_USER","EAE51B8CDDDB01E6E0436204548C61B8"
"Retail_Department","2001","","","","","","","","","Womens Casuals","Y","","","","","","","","","","","","2013/11/11 12:53:12.439","CUSTOMIZED_USER","2013/11/11 12:53:20.308","CUSTOMIZED_USER","EAE51B8CDDDC01E6E0436204548C61B8"
"Retail_Department","2003","","","","","","","","","Womens Classics","Y","","","","","","","","","","","","2013/11/11 12:53:33.103","CUSTOMIZED_USER","2013/11/11 12:53:39.969","CUSTOMIZED_USER","EAE51B8CDDDD01E6E0436204548C61B8"
"Retail_Department","4000","","","","","","","","","Gloves","Y","","","","","","","","","","","","2014/06/30 14:28:39.19","CUSTOMIZED_USER","2014/06/30 14:28:52.412","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Department","4005","","","","","","","","","Medical Equipment","Y","","","","","","","","","","","","2014/06/30 14:28:55.329","CUSTOMIZED_USER","2014/06/30 14:29:06.86","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Department","4010","","","","","","","","","Sutures","Y","","","","","","","","","","","","2014/06/30 14:29:15.628","CUSTOMIZED_USER","2014/06/30 14:29:21.238","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Department","4500","","","","","","","","","Anesthetics","Y","","","","","","","","","","","","2014/06/30 14:29:27.137","CUSTOMIZED_USER","2014/06/30 14:29:38.348","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Department","4505","","","","","","","","","Cough and Cold","Y","","","","","","","","","","","","2014/06/30 14:29:46.603","CUSTOMIZED_USER","2014/06/30 14:29:51.902","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Department","4510","","","","","","","","","Thyroid","Y","","","","","","","","","","","","2014/06/30 14:29:58.878","CUSTOMIZED_USER","2014/06/30 14:30:04.473","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Department","4515","","","","","","","","","Vaccines","Y","","","","","","","","","","","","2014/06/30 14:30:11.281","CUSTOMIZED_USER","2014/06/30 14:30:17.352","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Department","7000","","","","","","","","","Faucets","Y","","","","","","","","","","","","2014/09/22 14:04:43.546","CUSTOMIZED_USER","2014/09/22 14:05:00.601","CUSTOMIZED_USER","03A3395884A236A6E0536204548C3640"
"Retail_Department","7010","","","","","","","","","Showerheads","Y","","","","","","","","","","","","2014/09/22 14:05:04.088","CUSTOMIZED_USER","2014/09/22 14:05:21.346","CUSTOMIZED_USER","03A3395884A236A6E0536204548C3640"
"Retail_Division","1000","","","","","","","","","Grocery","Y","","","","","","","","","","","","2013/11/11 12:45:41.2","CUSTOMIZED_USER","2013/11/11 12:45:48.424","CUSTOMIZED_USER","EAE51B8CDDD601E6E0436204548C61B8"
"Retail_Division","2000","","","","","","","","","Fashion","Y","","","","","","","","","","","","2013/11/11 12:46:10.69","CUSTOMIZED_USER","2013/11/11 12:46:16.944","CUSTOMIZED_USER","EAE51B8CDDD701E6E0436204548C61B8"
"Retail_Division","3000","","","","","","","","","Hardlines","Y","","","","","","","","","","","","2013/11/11 12:46:29.704","CUSTOMIZED_USER","2013/11/11 12:46:35.78","CUSTOMIZED_USER","EAE51B8CDDD801E6E0436204548C61B8"
"Retail_Division","4000","","","","","","","","","Medical Supplies","Y","","","","","","","","","","","","2014/06/30 14:16:10.0","CUSTOMIZED_USER","2014/06/30 14:16:27.34","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Group","100","","","","","","","","","Grocery","Y","","","","","","","","","","","","2013/11/11 12:48:28.563","CUSTOMIZED_USER","2013/11/11 12:48:34.196","CUSTOMIZED_USER","EAE4431D8F8C1AE0E0436204548CD9F8"
"Retail_Group","101","","","","","","","","","Dairy","Y","","","","","","","","","","","","2013/11/11 12:48:44.517","CUSTOMIZED_USER","2013/11/11 12:48:51.872","CUSTOMIZED_USER","EAE4431D8F8D1AE0E0436204548CD9F8"
"Retail_Group","102","","","","","","","","","Deli","Y","","","","","","","","","","","","2013/11/11 12:48:58.346","CUSTOMIZED_USER","2013/11/11 12:49:03.444","CUSTOMIZED_USER","EAE4431D8F8E1AE0E0436204548CD9F8"
"Retail_Group","200","","","","","","","","","Womens Fashion","Y","","","","","","","","","","","","2013/11/11 12:49:12.682","CUSTOMIZED_USER","2013/11/11 12:49:17.411","CUSTOMIZED_USER","EAE4431D8F8F1AE0E0436204548CD9F8"
"Retail_Group","220","","","","","","","","","Mens Fashion","Y","","","","","","","","","","","","2013/11/11 12:49:24.082","CUSTOMIZED_USER","2013/11/11 12:49:28.91","CUSTOMIZED_USER","EAE4431D8F901AE0E0436204548CD9F8"
"Retail_Group","230","","","","","","","","","Childrens Fashion","Y","","","","","","","","","","","","2013/11/11 12:49:57.834","CUSTOMIZED_USER","2013/11/11 12:50:04.176","CUSTOMIZED_USER","EAE4431D8F921AE0E0436204548CD9F8"
"Retail_Group","400","","","","","","","","","Medical","Y","","","","","","","","","","","","2014/06/30 14:16:58.196","CUSTOMIZED_USER","2014/06/30 14:17:12.003","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Group","405","","","","","","","","","Medical Office Supplies","Y","","","","","","","","","","","","2014/06/30 14:17:27.764","CUSTOMIZED_USER","2014/06/30 14:17:39.062","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Group","410","","","","","","","","","Pharmaceutical","Y","","","","","","","","","","","","2014/06/30 14:17:50.941","CUSTOMIZED_USER","2014/06/30 14:17:58.238","CUSTOMIZED_USER","FD0CE50684D81376E0436204548CC13E"
"Retail_Group","700","","","","","","","","","Plumbing","Y","","","","","","","","","","","","2014/09/22 14:03:48.227","CUSTOMIZED_USER","2014/09/22 14:04:08.701","CUSTOMIZED_USER","03A3395884A236A6E0536204548C3640"
"Retail_Subclass","110431","","","","","","","","","Whole","Y","","","","","","","","","","","","2013/11/11 12:58:26.908","CUSTOMIZED_USER","2013/11/11 12:58:53.196","CUSTOMIZED_USER","EAE51B8CDDE501E6E0436204548C61B8"
"Retail_Subclass","110432","","","","","","","","","Stewed","Y","","","","","","","","","","","","2013/11/11 12:59:12.529","CUSTOMIZED_USER","2013/11/11 12:59:19.17","CUSTOMIZED_USER","EAE51B8CDDE601E6E0436204548C61B8"
"Retail_Subclass","110433","","","","","","","","","Diced","Y","","","","","","","","","","","","2013/11/11 12:59:24.144","CUSTOMIZED_USER","2013/11/11 12:59:40.548","CUSTOMIZED_USER","EAE48560530601ABE0436204548CC7D8"
"Retail_Subclass","110434","","","","","","","","","Chopped","Y","","","","","","","","","","","","2013/11/11 12:59:48.948","CUSTOMIZED_USER","2013/11/11 12:59:57.959","CUSTOMIZED_USER","EAE51B8CDDE701E6E0436204548C61B8"
"Retail_Subclass","110435","","","","","","","","","Pureed","Y","","","","","","","","","","","","2013/11/11 13:00:06.684","CUSTOMIZED_USER","2013/11/11 13:00:13.978","CUSTOMIZED_USER","EAE51B8CDDE801E6E0436204548C61B8"
"Retail_Subclass","200122","","","","","","","","","Tees","Y","","","","","","","","","","","","2013/11/11 13:00:21.149","CUSTOMIZED_USER","2013/11/11 13:00:31.027","CUSTOMIZED_USER","EAE51B8CDDE901E6E0436204548C61B8"
"Retail_Subclass","200312","","","","","","","","","Sweaters","Y","","","","","","","","","","","","2013/11/11 13:00:54.724","CUSTOMIZED_USER","2013/11/11 13:01:03.98","CUSTOMIZED_USER","EAE48560530701ABE0436204548CC7D8"
"UNSPSC_class","00","","","","","","","","","00","Y","","","","","","","","","","","","2013/11/11 10:25:37.53","CUSTOMIZED_USER","2013/11/11 10:25:42.466","CUSTOMIZED_USER","EAE4431D8F6C1AE0E0436204548CD9F8"
"UNSPSC_class","15","","","","","","","","","15","Y","","","","","","","","","","","","2013/11/11 10:25:46.663","CUSTOMIZED_USER","2013/11/11 10:25:51.643","CUSTOMIZED_USER","EAE4431D8F6C1AE0E0436204548CD9F8"
"UNSPSC_class","16","","","","","","","","","16","Y","","","","","","","","","","","","2013/11/11 10:25:57.219","CUSTOMIZED_USER","2013/11/11 10:26:04.726","CUSTOMIZED_USER","EAE4431D8F6C1AE0E0436204548CD9F8"
"UNSPSC_class","17","","","","","","","","","17","Y","","","","","","","","","","","","2013/11/11 10:26:07.992","CUSTOMIZED_USER","2013/11/11 10:26:13.987","CUSTOMIZED_USER","EAE4431D8F6C1AE0E0436204548CD9F8"
"UNSPSC_class","18","","","","","","","","","18","Y","","","","","","","","","","","","2013/11/11 10:26:18.778","CUSTOMIZED_USER","2013/11/11 10:26:24.815","CUSTOMIZED_USER","EAE4431D8F6C1AE0E0436204548CD9F8"
"UNSPSC_class","21","","","","","","","","","21","Y","","","","","","","","","","","","2013/11/11 10:26:28.791","CUSTOMIZED_USER","2013/11/11 10:26:35.219","CUSTOMIZED_USER","EAE4431D8F6C1AE0E0436204548CD9F8"
"UNSPSC_class","22","","","","","","","","","22","Y","","","","","","","","","","","","2013/11/11 10:26:39.204","CUSTOMIZED_USER","2013/11/11 10:26:44.417","CUSTOMIZED_USER","EAE4431D8F6C1AE0E0436204548CD9F8"
"UNSPSC_commodity","00","","","","","","","","","00","Y","","","","","","","","","","","","2013/11/11 10:28:21.469","CUSTOMIZED_USER","2013/11/11 10:28:26.666","CUSTOMIZED_USER","EAE4431D8F6D1AE0E0436204548CD9F8"
"UNSPSC_commodity","01","","","","","","","","","01","Y","","","","","","","","","","","","2013/11/11 10:28:32.952","CUSTOMIZED_USER","2013/11/11 10:28:38.3","CUSTOMIZED_USER","EAE4431D8F6D1AE0E0436204548CD9F8"
"UNSPSC_commodity","02","","","","","","","","","02","Y","","","","","","","","","","","","2013/11/11 10:28:40.597","CUSTOMIZED_USER","2013/11/11 10:28:45.758","CUSTOMIZED_USER","EAE4431D8F6D1AE0E0436204548CD9F8"
"UNSPSC_commodity","03","","","","","","","","","03","Y","","","","","","","","","","","","2013/11/11 10:28:47.902","CUSTOMIZED_USER","2013/11/11 10:28:52.739","CUSTOMIZED_USER","EAE4431D8F6D1AE0E0436204548CD9F8"
"UNSPSC_commodity","04","","","","","","","","","04","Y","","","","","","","","","","","","2013/11/11 10:28:57.715","CUSTOMIZED_USER","2013/11/11 10:29:02.773","CUSTOMIZED_USER","EAE4431D8F6D1AE0E0436204548CD9F8"
"UNSPSC_commodity","05","","","","","","","","","05","Y","","","","","","","","","","","","2013/11/11 10:29:04.944","CUSTOMIZED_USER","2013/11/11 10:29:10.157","CUSTOMIZED_USER","EAE4431D8F6D1AE0E0436204548CD9F8"
"UNSPSC_commodity","06","","","","","","","","","06","Y","","","","","","","","","","","","2013/11/11 10:29:12.203","CUSTOMIZED_USER","2013/11/11 10:29:17.932","CUSTOMIZED_USER","EAE4431D8F6D1AE0E0436204548CD9F8"
