"FND_APP_DESCRIPTIVE_FLEXFIELD.DescriptiveFlexfieldCode","FND_APP_DESCRIPTIVE_FLEXFIELD.ApplicationId","ORA_FND_APP_DESCRIPTIVE_FLEXFIELD_CONTEXT.ContextCode","SegmentCode","SegmentIdentifier","ColumnName","Name","Description","Prompt","ShortPrompt","TerminologyHelpText","InFieldHelpText","SequenceNumber","EnabledFlag","DisplayType","DisplayWidth","DisplayHeight","CheckboxCheckedValue","CheckboxUncheckedValue","RequiredFlag","RangeType","DefaultType","DefaultValue","DefaultValueNumber","DefaultValueDate","DefaultValueTimestamp","DerivationValue","ReadOnlyFlag","BIEnabledFlag","BIEqualizationTag","IndexedFlag","MultirowUniqueKeyFlag","ShowValueDescription","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin","ValueSetCode","UomClassCode"
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Contract organization","","INTERFACE_LINE_ATTRIBUTE4","Contract organization","","Contract organization","Contract organization","","","4","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:23.94","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.89","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Draft Invoice Number","","INTERFACE_LINE_ATTRIBUTE3","Draft Invoice Number","","Draft Invoice Number","Draft Invoice Number","","","3","Y","TEXT_BOX","8","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:23.952","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.892","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Line Id","","INTERFACE_LINE_ATTRIBUTE5","Line ID","","Line ID","Line ID","","","5","Y","TEXT_BOX","18","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:23.964","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.893","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Receiving Business Unit","","INTERFACE_LINE_ATTRIBUTE7","Receiving Business Unit","","Receiving Business Unit","Receiving Business Unit","","","7","Y","TEXT_BOX","18","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:23.977","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.894","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Receiving Project Number","","INTERFACE_LINE_ATTRIBUTE8","Receiving Project Number","","Receiving Project Number","Receiving Project Number","","","8","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:23.99","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.895","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INTERNAL INVOICES","Type","","INTERFACE_LINE_ATTRIBUTE6","Type","","Type","Type","","","6","Y","TEXT_BOX","6","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.003","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.896","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INVOICES","Contract Id","","INTERFACE_LINE_ATTRIBUTE2","Contract ID","","Contract ID","Contract ID","","","2","Y","TEXT_BOX","18","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.075","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.9","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INVOICES","Contract Number","","INTERFACE_LINE_ATTRIBUTE1","Contract Number","","Contract Number","Contract Number","","","1","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.085","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.902","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INVOICES","Contract Organization","","INTERFACE_LINE_ATTRIBUTE4","Contract Organization","","Contract Organization","Contract Organization","","","4","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.097","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.904","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INVOICES","Draft Invoice Number","","INTERFACE_LINE_ATTRIBUTE3","Draft Invoice Number","","Draft Invoice Number","Draft Invoice Number","","","3","Y","TEXT_BOX","8","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.108","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.906","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INVOICES","Line Id","","INTERFACE_LINE_ATTRIBUTE5","Line ID","","Line ID","Line ID","","","5","Y","TEXT_BOX","18","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.12","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.908","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","CONTRACT INVOICES","Type","","INTERFACE_LINE_ATTRIBUTE6","Type","","Type","Type","","","6","Y","TEXT_BOX","6","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.132","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.91","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","Contracts Context","Billing Schedule Number","billingScheduleNumber","INTERFACE_LINE_ATTRIBUTE3","Billing Schedule Number","","Billing Schedule Number","Billing Schedule Number","","","30","Y","TEXT_BOX","","","","","N","","","","","","","","N","N","","N","","N","2017/09/19 17:54:57.03","SEED_DATA_FROM_APPLICATION","2017/09/19 17:54:58.775","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","Contracts Context","Contract Number","contractNumber","INTERFACE_LINE_ATTRIBUTE1","Contract Number","","Contract Number","Contract Number","","","10","Y","TEXT_BOX","","","","","N","","","","","","","","N","N","","N","","N","2017/09/19 17:54:57.116","SEED_DATA_FROM_APPLICATION","2017/09/19 17:54:58.791","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","Contracts Context","Line Number","lineNumber","INTERFACE_LINE_ATTRIBUTE2","Line Number","","Line Number","Line Number","","","20","Y","TEXT_BOX","","","","","N","","","","","","","","N","N","","N","","N","2017/09/19 17:54:57.187","SEED_DATA_FROM_APPLICATION","2017/09/19 17:54:58.808","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Bill of Lading Number","","INTERFACE_LINE_ATTRIBUTE8","Order Waybill Number","","Order Waybill Number","Order Waybill Number","","","8","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.166","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.299","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Customer Item","","INTERFACE_LINE_ATTRIBUTE9","Order Bill Of Lading Number","","Order Bill Of Lading Number","Order Bill Of Lading Number","","","9","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.175","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.305","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","DOO Order Number","","INTERFACE_LINE_ATTRIBUTE3","DOO Order Number","","DOO Order Number","DOO Order Number","","","3","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.187","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.311","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Delivery Name","","INTERFACE_LINE_ATTRIBUTE6","Order Price Adjustment ID","","Order Price Adjustment ID","Order Price Adjustment ID","","","6","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.198","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.316","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Fulfill Line Split Reference","","INTERFACE_LINE_ATTRIBUTE10","Order Customer Item Number","","Order Customer Item Number","Order Customer Item Number","","","10","Y","TEXT_BOX","15","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.21","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.33","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Fulfillment Line ID","","INTERFACE_LINE_ATTRIBUTE4","Order Type","","Order Type","Order Type","","","4","Y","TEXT_BOX","15","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.221","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.335","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Fulfillment Line Number","","INTERFACE_LINE_ATTRIBUTE12","Order Fulfillment Line Split Reference","","Order Fulfillment Line Split Reference","Order Fulfillment Line Split Reference","","","12","Y","TEXT_BOX","50","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.233","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.34","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Period","period","INTERFACE_LINE_ATTRIBUTE14","Period","Period number of recurring invoices.","Period","Period","","","14","Y","TEXT_BOX","30","","","","N","","","","","","","","N","N","","","","","2015/07/01 02:08:00.015","SEED_DATA_FROM_APPLICATION","2015/07/01 02:08:20.513","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Price Adjustment ID","","INTERFACE_LINE_ATTRIBUTE5","Order Fulfillment Line ID","","Order Fulfillment Line ID","Order Fulfillment Line ID","","","5","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.247","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.349","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Profit Center Business Unit","","INTERFACE_LINE_ATTRIBUTE13","Profit Center Business Unit","","Profit Center Business Unit","Profit Center Business Unit","","","13","Y","TEXT_BOX","50","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:30.951","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.353","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Source Order Number","","INTERFACE_LINE_ATTRIBUTE1","Source Order Number","","Source Order Number","Source Order Number","","","1","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.26","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.357","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Source Order System","","INTERFACE_LINE_ATTRIBUTE2","Source Order System","","Source Order System","Source Order System","","","2","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.272","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.362","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","Source Schedule Number","","INTERFACE_LINE_ATTRIBUTE11","Source Schedule Number","","Source Schedule Number","Source Schedule Number","","","11","Y","TEXT_BOX","50","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.284","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.937","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DOO","WayBill Number","","INTERFACE_LINE_ATTRIBUTE7","Order Delivery Name","","Order Delivery Name","Order Delivery Name","","","7","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.296","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.368","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DS TRANSACTIONS BUILD AR","Distribution Number","distributionNumber","INTERFACE_LINE_ATTRIBUTE2","Distribution Number","","Distribution Number","Distribution Number","","","20","Y","TEXT_BOX","30","","","","N","","","","","","","","N","N","","N","","N","2019/03/06 09:25:33.353","CUSTOMIZED_USER","2019/03/06 09:26:15.416","CUSTOMIZED_USER","836A6C71E6EF0FC4E053C390DF0A629A","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","DS TRANSACTIONS BUILD AR","Transaction Number","transactionNumber","INTERFACE_LINE_ATTRIBUTE1","Transaction Number","","Transaction Number","Transaction Number","","","10","Y","TEXT_BOX","30","","","","N","","","","","","","","N","N","","N","","N","2019/03/06 09:24:23.117","CUSTOMIZED_USER","2019/03/06 09:25:26.732","CUSTOMIZED_USER","836A6C71E6EF0FC4E053C390DF0A629A","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","EXTERNAL_SOURCE","Header_ID","","INTERFACE_LINE_ATTRIBUTE1","Header_ID","","Header_ID","Header_ID","","","10","Y","TEXT_BOX","30","","","","N","","","","","","","","N","N","","N","","N","2013/10/31 13:23:19.897","CUSTOMIZED_USER","2013/10/31 13:24:02.971","CUSTOMIZED_USER","EA070FCA706043B2E0436204548C3748","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","EXTERNAL_SOURCE","Line_ID","","INTERFACE_LINE_ATTRIBUTE2","Line_ID","","Line_ID","Line_ID","","","20","Y","TEXT_BOX","30","","","","N","","","","","","","","N","N","","N","","N","2013/10/31 13:24:06.746","CUSTOMIZED_USER","2013/10/31 13:24:33.738","CUSTOMIZED_USER","EA070FCA706043B2E0436204548C3748","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Agreement Number","","INTERFACE_LINE_ATTRIBUTE2","Agreement Number","Unique number for Financial Trade Agreement defined between the legal entities, business units and trade organizations of a corporate group for establishing a trade relationship","Agreement Number","Agreement Number","","","2","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.051","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.393","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Event Header Number ","","INTERFACE_LINE_ATTRIBUTE7","Event Header Number","Event Header Number Information","Event Header Number","Event Header Number","","","7","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.103","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.395","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Event ID","","INTERFACE_LINE_ATTRIBUTE4","Event ID","Ownership change business event transaction reference","Event ID","Event ID","","","4","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.126","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.398","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Event Type","","INTERFACE_LINE_ATTRIBUTE3","Event Type","Type of ownership change business event","Event Type","Event Type","","","3","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.158","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.402","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","FOS Flow Instance ID","","INTERFACE_LINE_ATTRIBUTE1","FOS Flow Instance ID","FOS Transaction reference key","FOS Flow Instance ID","FOS Flow Instance ID","","","1","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.187","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.404","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Financial Trade Relationship","","INTERFACE_LINE_ATTRIBUTE6","Financial Trade Relationship","Unique identification key which specifies the financial route through which the financial obligations are settled defined in a Trade Agreement.","Financial Trade Relationship","Financial Trade Relationship","","","6","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.214","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.41","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Order Type ","","INTERFACE_LINE_ATTRIBUTE9","Order Type","Order type associated with the sales order","Order Type","Order Type","","","9","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2017/09/19 17:54:57.304","SEED_DATA_FROM_APPLICATION","2017/09/19 17:54:58.829","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Primary Trade Relationship","","INTERFACE_LINE_ATTRIBUTE5","Primary Trade Relationship","Unique identification key for supply chain execution partnership between two legal entities and their business units defined in a Trade Agreement.","Primary Trade Relationship","Primary Trade Relationship","","","5","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.248","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.415","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Profit Center Business Unit","","INTERFACE_LINE_ATTRIBUTE13","Profit Center Business Unit","A profit center business unit is a section of a company that operates as if it were a business with its own income statement.","Profit Center Business Unit","Profit Center Business Unit","","","13","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2014/07/16 15:26:33.281","SEED_DATA_FROM_APPLICATION","2014/07/16 15:26:35.417","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","FOS","Ship From Location ","","INTERFACE_LINE_ATTRIBUTE8","Ship From Location","Identifier of the location from where goods are shipped from","Ship From Location","Ship From Location","","","8","Y","TEXT_BOX","100","","","","Y","","","","","","","","N","N","","","","","2017/09/19 17:54:57.376","SEED_DATA_FROM_APPLICATION","2017/09/19 17:54:58.848","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","GLOBAL_PROCUREMENT","Create AP Invoice","","INTERFACE_LINE_ATTRIBUTE8","Create AP Invoice","","Create AP Invoice","Create AP Invoice","","","8","Y","TEXT_BOX","30","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.36","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.943","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
"RA_INTERFACE_LINES","222","GLOBAL_PROCUREMENT","PO Line Location ID","","INTERFACE_LINE_ATTRIBUTE6","PO Line Location ID","","PO Line Location ID","PO Line Location ID","","","6","Y","TEXT_BOX","15","","","","Y","","","","","","","","N","N","","","","","2013/08/08 06:37:24.373","SEED_DATA_FROM_APPLICATION","2013/08/08 06:37:24.946","SEED_DATA_FROM_APPLICATION","-1","FND_FLEX_UPGRADE_FORMAT_ONLY_VARCHAR2_L30",""
